Source: https://sites.google.com/site/wheeloffortunepuzzlecompendium/home/compendium/season-32-compendium
NUMBER OF PUZZLES:1648
CATEGORY|PUZZLE
Star & Role|TOM HANKS AS FORREST GUMP
Event|A REFRESHING DIP IN THE WARM SEA
Things|ZEBRA STRIPES
Phrase|MONEY IN THE BANK
On The Map|CASPER WYOMING
Things|HIGH-TECH GADGETS
Show Biz|DRIVE-IN THEATER
Food & Drink|HOT BUFFALO WINGS
Person|MOST VALUABLE PLAYER
Before & After|HE'S MY BETTER HALF-WIT
Fictional Character|GRUMPY
What Are You Doing?|SPENDING THE DAY SUNBATHING
Thing|MARRIAGE LICENSE
Phrase|RUNNING AT FULL CAPACITY
Thing|FOOD PACKAGING
On The Map|JACKSONVILLE FLORIDA
Thing|WISHING WELL
Show Biz|EYE-POPPING SPECIAL EFFECTS
Before & After|IT'S A SMALL WORLD WIDE WEB
Fun & Games|TREMENDOUS WINDSURFING
Phrase|THE LAST STRAW
Rhyme Time|PASTRAMI AND SALAMI
Person|BUILDING OWNER
Place|GREEN MEADOW
People|HAPPY NEWLYWEDS
Characters|HUEY DEWEY AND LOUIE
Event|BRILLIANT FIREWORKS SHOW
Phrase|LOVING THE SUNSHINE STATE
Movie Title|THE INCREDIBLES
Things|WORDS OF ENCOURAGEMENT
Things|A FEW CHOICES
Person|BLUSHING BRIDE
Place|HOME AWAY FROM HOME
Character|PEGASUS THE FLYING STALLION
Song Lyrics|TALE AS OLD AS TIME SONG AS OLD AS RHYME
Event|DELICIOUS DINING EXPERIENCE
Title|THE JUNGLE BOOK
Food & Drink|MADE-TO-ORDER OMELET
Thing|WISP OF HAIR
Person|MY TEAMMATE
Living Things|DALMATIANS
Fun & Games|MAKING A SPLASH AT THE WATER PARK
Food & Drink|SLOW-ROASTED PORK TENDERLOIN
Phrase|IT'S TIME TO CELEBRATE
Rhyme Time|A FRIEND TO THE END
Show Biz|YOUR NAME IN LIGHTS
Phrase|ZIPPING BY
Fun & Games|DOING CARTWHEELS
Food & Drink|CHILI CHEESE FRIES
What Are You Doing?|HOPPING ON THE MONORAIL
Things|FANTASTIC PARADE FLOATS
Event|A TRULY UNBELIEVABLE VACATION
Place|TOMORROWLAND
Person|CAPTAIN OF THE SHIP
Thing|PROVEN VALUE
Rhyme Time|NEAR AND DEAR
Show Biz|BROADWAY MUSICAL
Food & Drink|TRIPLE CHOCOLATE CUPCAKES
Song Lyrics|IT'S THE CIRCLE OF LIFE AND IT MOVES US ALL
Event|ULTIMATE FAMILY GETAWAY
Living Things|ELEPHANTS AND RHINOS
Phrase|WHERE DREAMS COME TRUE
Phrase|OVER YONDER
Phrase|CALL YOUR MOTHER
Food & Drink|FRENCH PASTRIES
Star & Role|JULIA ROBERTS AS ERIN BROCKOVICH
Before & After|GRINNING FROM EAR TO EAR OF CORN
Thing|PANAMA'S MOST POPULAR ATTRACTION
What Are You Doing?|SHOPPING ONLINE
In The Kitchen|ILLUSTRATED COOKBOOK
Living Thinga|PLAYFUL PUPPIES
People|YOUNG CROWD
Things|PRECIOUS GEMSTONES
Around The House|CLOSET ORGANIZER
What Are You Doing?|FLYING BY THE SEAT OF MY PANTS
Same Letter|COCOA CINNAMON & CARAMEL
Phrase|YAKETY-YAK
Living Thingz|ABUNDANT MARINE LIFE
TV Title|THE GOOD WIFE
Phrase|I LOVE YOU NO MATTER WHAT
Phrase|WIGGLE AROUND
What Are You Doing?|MAKING IT ALL BETTER
Thing|THE BIG DIPPER
Around The House|DECORATIVE THROW PILLOWS
Before & After|MONTEREY JACK AND THE BEANSTALK
Places|STRETCHES OF POWDERY WHITE SAND
Movie Title|THE BODYGUARD
Event|TAKING A BUBBLE BATH
Phrase|WHAT TO AVOID
Title|MAMMA MIA!
Person|DECISION MAKER
Phrase|IT JUST POPPED INTO MY HEAD
Things|MATCHING BRACELET AND NECKLACE
What Are You Doing?|BASKING IN WORLD-CLASS LUXURY
Event|FAMILY BRUNCH
Show Biz|HOLLYWOOD AGENT
Phrase|WAVE YOUR MAGIC WAND
Person|THE MOM WHO DOES IT ALL
Fun & Games|PLAYING TETHERBALL
In The Kitchen|FIVE-SPEED HAND MIXER
Before & After|FOAMY LIQUID SOAP OPERA STARS
Things|TRANQUILITY & REJUVENATION
What Are You Doing?|CRACKING THE WHIP
Movie Title|A LEAGUE OF THEIR OWN
Thing|PATIO UMBRELLA
Place|HOTEL LOBBY
Phrase|READY FOR ACTION
Movie Quote|THE STUFF THAT DREAMS ARE MADE OF
Before & After|WORKING THE CROWD-PLEASER
Food & Drink|SPAGHETTI WITH RED SAUCE
Thing|SECRET BALLOT
Song Lyrics|I'M HOOKED ON A FEELING
Thing|BANDWIDTH
On The Map|SPAIN & PORTUGAL
What Are You Doing?|PRACTICING MY SWING
Things|BINOCULARS & TELESCOPES
Before & After|EGG ROLL WITH THE PUNCHES
Title|A TAIL OF TWO CITIES
Living Things|TROPICAL FISH
Event|A COME-FROM-BEHIND WIN
Proper Name|JUSTIN TIMBERLAKE
Phrase|AWFULLY KIND
Phrase|COUNT ME IN
Occupation|TRAVEL AGENT
Same Letter|CREATING CUSTOM CONFECTIONS
Landmark|THE GREAT WALL OF CHINA
Thing|TRADITIONAL IRISH MUSIC
What Are You Doing?|WAITING IN THE WINGS
On The Map|INTERNATIONAL DATE LINE
Place|SWIMMING HOLE
Phrase|PHASED OUT
On The Map|SIDNEY AUSTRALIA
Title|MISSION: IMPOSSIBLE
Living Things|GERMAN SHEPHERDS AND FRENCH POODLES
Before & After|BOOGIE BOARD OF TRUSTEES
Phrase|TEEMING WITH EXOTIC PLANTS
Around The House|CRYSTAL STEMWARE
Food & Drink|VINE-RIPENED TOMATOES
Person|POWERFUL TYCOON
Phrase|PAMPER YOURSELF
People|CIRCUS CLOWNS
Before & After|THE BRADY BUNCH OF BANANAS
Event|BREAKING THE SOUND BARRIER
Things|ARCHITECTURAL MASTERPIECES
Food & Drink|DEVIL'S FOOD CAKE
What Are You Doing?|MAKING A SUGGESTION
Thing|HOURLY FORECAST
Things|SHORTS AND SKIRTS
Proper Name|EDWARD NORTON
Event|MAKING THE HEADLINES
Before & After|JUST THE TIP OF THE ICEBERG LETTUCE
Phrase|I FEEL LIKE A MILLION DOLLARS
Place|THE PRODUCE SECTION
Occupation|BROADCAST JOURNALIST
Phrase|GO VIRAL
Event|THE FOURTH OF JULY
Phrase|IT WAS MEANT TO BE
Food & Drink|CREAMY COLESLAW WITH RAISINS
Same Letter|BASEBALL BASKETBALL & BADMINTON
Phrase|LOOKING SPIFFY
What Are You Doing?|SOAKING IN HOT SPRINGS
Person|ASTRONOMER
Things|OLD DOGS AND NEW TRICKS
Phrase|APPLY FOR A JOB
Thing|THE MONTH OF JUNE
Phrase|THAT'S A GREAT IDEA
What Are You Doing?|WANDERING AROUND IN CIRCLES
Before & After|FERRIS BUELLER'S DAY OFF HIS ROCKER
Food & Drink|A TANTALIZING RUM PUNCH
Fun & Games|A ROUND OF GOLF
People|HIGH-FLYING ACROBATS
Phrase|DIVE RIGHT IN
Phrase|BRIGHT AND SUNNY
Song Title|MAGIC CARPET RIDE
Show Biz|BEST SUPPORTING ACTOR
Same Name|PICNIC AND BALD SPOT
Thing|DOORKNOB
Event|AUTHENTIC HAWAIIAN LUAU
Proper Name|KEIRA KNIGHTLEY
Thing|EXCELLENT PENMANSHIP
Fun & Games|STEALING SECOND BASE
Phrase|ZOOM OUT
Phrase|THE FIRST TIME EVER
Rhyme Time|THE HOST WITH THE MOST
Food & Drink|GRILLED CORN ON TH COB
Show Biz|OSCAR WINNER JULIANNE MOORE
Places|PICTURE-PERFECT BEACHES
Thing|PIRATE SHIP
What Are You Doing?|SKYROCKETING TO FAME
Thing|OVERHEAD LIGHT
What Are You Doing?|KICKING THINGS OFF
Thing|SWISS ARMY KNIFE
Song Lyrics|BACK IN THE SADDLE AGAIN
Before & After|PRETTY IN PINK FLOYD
Food & Drink|FROZEN FRUITY COCKTAILS
Phrase|WILD AND WOOLLY
Place|CHEERLEADER CAMP
Event|A COMPLETE MAKEOVER
Phrase|SWOOPING DOWN
Place|THE WINNER'S CIRCLE
Proper Name|ETHAN HAWKE
Phrase|THERE'S A NEW SHERIFF IN TOWN
Before & After|TENNIS COURT STENOGRAPHER
Phrase|THINK OUTSIDE THE BOX
Things|SWIMSUITS AND FLIP-FLOPS
Occupation|MASTER CHEF
Show Biz|MOVIE REMAKES AND SEQUELS
Event|HOLIDAY WEEKEND
Phrase|WHAT A BUSYBODY
Event|SPONTANEOUS ROAD TRIP
Show Biz|CAST IN THE LEAD ROLE
Phrase|TWO'S COMPANY THREE'S A CROWD
Same Name|POPSICLE & POGO STICK
Thing|PANORAMIC OCEAN VIEW
What Are You Doing?|REACHING FOR THE STARS
Movie Title|THE THEORY OF EVERYTHING
Food & Drink|HOMEMADE CHEESECAKE
Thing|EDUCATED GUESS
Thing|AN OLD MYTH
Food & Drink|CHERRIES JUBILEE
Occupation|CREATIVE DIRECTOR
What Are You Doing?|GIVING IT ONE HUNDRED PERCENT
Before & After|PHOTO FINISH YOUR HOMEWORK
Phrase|EXCEPTIONALLY BEAUTIFUL
Show Biz|WALK-ON PART
Thing|ROMANTIC MELODY
Thing|STRIPED AWNING
Place|ICE CREAM STAND
Phrase|YOU ROCK MY WORLD
Event|GOING ON A FIRST DATE
Before & After|DON'T PLAY WITH FIRE-BREATHING DRAGONS
Thing|A LONGING FOR ADVENTURE
Movie Title|THE GOONIES
Show Biz|SINGERS AND DANCERS
Thing|GLOBAL MAP
Place|MOTOR SPEEDWAY
Rhyme Time|LET'S HIDE INSIDE
What Are You Doing?|GRABBING A QUICK BITE TO EAT
Same Name|SECRET AND ROOM SERVICE
Phrase|EVERYTHING YOU IMAGINED
Person|OPERA SINGER
Show Biz|CHART-TOPPING HIT SONG
Person|ADVISORY BOARD
On The Map|DALLAS TEXAS
Things|HIGH TEMPERATURES
Food & Drink|MASHED POTATOES WITH GRAVY
Before & After|MY FAIR LADY GAGA
Phrase|WOW THIS JUST GOT REAL
Rhyme Time|A LITTLE PEP IN YOUR STEP
Show Biz|OFFICIAL MOVIE TRAILER
Thing|WORLDWIDE PHENOMENON
Proper Name|ANDREW JACKSON
Person|MYSTERY MAN
On The Map|VERMONT'S GREEN MOUNTAINS
Same Letter|PERPLEXING PUZZLE PIECES
Phrase|OVERLOOKING THE HARBOR
Place|HISTORIC LANDMARK
Food & Drink|BACON-WRAPPED HOT DOG
Phrase|WITHIN THE HOUR
On The Map|MADISON WISCONSIN
Phrase|AS LUCK WOULD HAVE IT
What Are You Doing?|BITING OFF MORE THAN I CAN CHEW
Before & After|QUALITY TIME WARP
Things|JUNK BONDS
Things|POSTCARDS FROM PARADISE
Characters|SHAGGY & SCOOBY-DOO
Person|AWARD SHOW PRESENTER
Phrase|PROPER USAGE
Event|TAILGATE PARTY
Person|ONE OF THE GUYS
Show Biz|GREAT TELEVISION THEME SONGS
Fun & Games|PLAYING BEACH VOLLEYBALL
Thing|THE MUSIC OF BOB MARLEY
Food & Drink|MIXED GREEN SALAD
What Are You Doing?|SINGING IN THE CHOIR
Place|THEATER DISTRICT
Person|HIGHEST BIDDER
Phrase|YOU'RE MY HERO
Characters|THE AVENGERS
Song Lyrics|THEN I SAW HER FACE NOW I'M A BELIEVER
Before & After|HEAVYWEIGHT BOXERS OR BRIEFS
Things|GLIMMERING SEASCAPES
Person|WEEKEND WARRIOR
On The Map|TULSA OKLAHOMA
Thing|OBVIOUS ANSWER
Song Title|LEADER OF THE PACK
Around The House|MUSTACHE TRIMMER
Movie Quote|MAKE HIM AN OFFER HE CAN'T REFUSE
Before & After|I GOT YOU BABE RUTH
Phrase|WHY ME
Landmarks|CASTLES AND MONUMENTS
Phrase|BUYING IN BULK
Fun & Games|ALLIGATOR WRESTLING
Fun & Games|BUMPER POOL
Things|CLASSIC CARS
Phrase|AYE AYE CAPTAIN
Living Things|SALMON SWIMMING UPSTREAM
Before & After|SLEEPLESS IN SEATTLE MARINERS
What Are You Doing?|CHILLING OUT IN A HAMMOCK
Around The House|HOME THEATER SYSTEM
Food & Drink|MORNING CUP OF COFFEE
Thing|PROBABILITY
What Are You Doing?|GROWING A BEARD
Rhyme Time|THE MAN WITH THE PLAN
Phrase|AND THEY SAID IT COULDN'T BE DONE
Before & After|LEAKY PIPE ORGAN
Event|CATCH A POP FLY
Fun & Games|SURFING THE NORTH SHORE
Person|BUSINESS TRAVELER
Movie Title|MEET THE PARENTS
Place|HUNTING LODGE
Phrase|DABBLE IN THE KITCHEN
Movie Quote|I AM YOUR FATHER
What Are You Doing?|GOING THE EXTRA MILE
Before & After|SLIDE RULE THE ROOST
People|BLONDES BRUNETTES AND REDHEADS
Fun & Games|HITTING THE BEACH ON A DUNE BUGGY
Around The House|BOTTLE OF COLOGNE
Phrase|ASK THE EXPERT
Phrase|TOO MUCH HYPE
